mesh,norm_method,quant,bins,mse_mean,mae_mean,chamfer,hausdorff
sphere,minmax,uniform,1024,3.028066496685624e-07,0.00048723549370268044,0.0018423848710867913,0.0014525329870152767
sphere,minmax,adaptive,1024,1.3819654272957728e-07,0.00031668393991632246,0.0012167371465168918,0.0014525329870152767
sphere,unit_sphere,uniform,1024,3.0429519394566705e-07,0.000488758180000329,0.0018471140790739622,0.0014525252106909446
sphere,unit_sphere,adaptive,1024,1.389244291623016e-07,0.0003177489261389522,0.001220044734079171,0.0014525252106909446
