mesh,norm_method,quant,bins,mse_mean,mae_mean,chamfer,hausdorff
heightmesh,minmax,uniform,1024,2.0813579321357112e-07,0.0003365352144239454,0.0014787021877890024,0.001379063254061464
heightmesh,minmax,adaptive,1024,8.990838528707682e-08,0.00022384769500231256,0.0009627467732435879,0.0012633649375430394
heightmesh,unit_sphere,uniform,1024,6.227249436802771e-07,0.0006853938145841061,0.0026220212881390725,0.002307198103628746
heightmesh,unit_sphere,adaptive,1024,2.771347839126962e-07,0.0004454588306925001,0.0017191066229656226,0.0021913410461441613
